Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Brandywine,Ohio,Ohio,871,240,631,0,0,0,2,7,2,5,16,11,2,0.3,85,85,92,56,51,44,110,85,5,0.042774892848893416,11.154240842368269,0.20190023752969122,0.18813905930470348,0.16666666666666666,0.20190023752969122,1.4545454545454546,0.18823529411764706,0,0
Mad River Mountain,Ohio,Ohio,1460,300,1160,0,0,0,1,2,3,6,12,20,4,0.5,144,144,99,57,36,44,90,144,5,0.042774892848893416,11.154240842368269,0.342042755,0.20245398773006135,0.3333333333333333,0.342042755,0.6,0.083333333,0,0
Snow Trails,Ohio,Ohio,1475,301,1174,0,0,0,0,4,2,3,9,17,3,0.2,80,80,101,58,50,52,70,80,5,0.042774892848893416,11.154240842368269,0.19002375296912113,0.2065439672801636,0.25,0.19002375296912113,0.5294117647058824,0.1125,0,0
Anthony Lakes Mountain Resort,Oregon,Oregon,8000,900,7100,0,0,0,0,1,0,2,3,21,2,1.5,1100,,75,56,300,40,80,,10,0.23709396768930827,10.164770936886937,0.093426193,0.063559322,0.090909091,,0.14285714285714285,0.002727273,0,0
Cooper Spur,Mt. Hood,Oregon,4000,350,3500,0,0,0,0,0,1,1,2,10,,0.1,50,,78,66,100,39,90,,10,0.23709396768930827,10.164770936886937,0.004246645,0.066101695,,,0.2,0.04,0,0
Hoodoo Ski Area,Oregon,Oregon,5703,1035,4668,0,0,0,3,1,1,0,5,34,,0.4,806,,80,81,350,59,108,200,10,0.23709396768930827,10.164770936886937,0.06845592,0.06779661,,0.1774622892635315,0.14705882352941177,0.006203474,0,0
Mt. Ashland,Oregon,Oregon,7533,1150,6383,0,0,0,0,2,2,1,5,23,2,1,220,,94,55,300,52,92,40,10,0.23709396768930827,10.164770936886937,0.018685238661457448,0.079661017,0.090909091,0.035492458,0.21739130434782608,0.022727272727272728,0,0
Mt. Bachelor,Oregon,Oregon,9065,3365,5700,0,0,8,0,3,0,0,11,101,5,4,4318,20,185,61,462,99,185,,10,0.23709396768930827,10.164770936886937,0.36674027518260577,0.15677966101694915,0.22727272727272727,,0.10891089108910891,0.002547476,0.079207921,0.00185271
Mt. Hood Skibowl,Mt. Hood,Oregon,5100,1500,3600,0,0,0,0,0,4,5,9,65,2,3,960,29,125,82,300,70,144,317,10,0.23709396768930827,10.164770936886937,0.081535587,0.1059322033898305,0.090909091,0.28127772848269744,0.13846153846153847,0.009375,0,0
Willamette Pass,Oregon,Oregon,6683,1563,5120,0,1,0,0,3,0,1,5,29,,2.1,555,60,3,78,430,60,100,,10,0.23709396768930827,10.164770936886937,0.047137761168676746,0.002542373,,,0.1724137931034483,0.009009009,0,0
Bear Creek Mountain Resort,Pennsylvania,Pennsylvania,1100,510,600,0,0,0,3,1,0,2,6,23,3,1,86,86,91,52,30,60,90,86,19,0.14841443778775315,41.255916967038694,0.045550847457627115,0.064814815,0.063829787,0.056282723,0.2608695652173913,0.069767442,0,0
Ski Big Bear,Pennsylvania,Pennsylvania,1250,650,600,0,0,0,0,0,4,2,6,18,1,1.5,26,26,75,43,69,62,75,26,19,0.14841443778775315,41.255916967038694,0.013771186440677966,0.053418803418803416,0.021276596,0.017015706806282723,0.3333333333333333,0.23076923076923078,0,0
Big Boulder,Pennsylvania,Pennsylvania,2175,600,1700,0,0,0,0,2,5,1,8,16,8,,55,55,76,72,50,65,95,55,19,0.14841443778775315,41.255916967038694,0.029131356,0.054131054,0.1702127659574468,0.035994764,0.5,0.14545454545454545,0,0
Blue Knob,Pennsylvania,Pennsylvania,3146,1072,2074,0,0,0,0,2,2,2,6,34,1,2,100,84,87,56,120,68,105,42,19,0.14841443778775315,41.255916967038694,0.052966102,0.061965812,0.021276596,0.027486911,0.17647058823529413,0.06,0,0
Blue Mountain Resort,Pennsylvania,Pennsylvania,1600,1082,460,0,1,1,1,1,3,9,16,39,5,1.2,164,164,122,42,33,65,112,164,19,0.14841443778775315,41.255916967038694,0.086864407,0.086894587,0.10638297872340426,0.10732984293193717,0.41025641025641024,0.097560976,0.025641026,0.006097561
Camelback Mountain Resort,Pennsylvania,Pennsylvania,2100,800,1250,0,0,2,0,3,5,6,16,37,5,1,166,166,100,56,50,70,100,160,19,0.14841443778775315,41.255916967038694,0.087923729,0.071225071,0.10638297872340426,0.10471204188481675,0.43243243243243246,0.096385542,0.054054054,0.012048192771084338
Elk Mountain Ski Resort,Pennsylvania,Pennsylvania,2693,1000,1693,0,0,0,1,0,5,1,7,27,2,0.7,180,146,,60,60,69,100,90,19,0.14841443778775315,41.255916967038694,0.095338983,,0.042553191,0.058900523560209424,0.25925925925925924,0.038888889,0,0
Jack Frost,Pennsylvania,Pennsylvania,2000,600,1400,0,0,0,1,2,5,1,9,20,1,1,100,100,96,47,50,65,105,,19,0.14841443778775315,41.255916967038694,0.052966102,0.068376068,0.021276596,,0.45,0.09,0,0
Liberty,Pennsylvania,Pennsylvania,1190,620,570,0,0,0,5,0,0,3,8,16,3,1,100,100,107,54,31,77,97,100,19,0.14841443778775315,41.255916967038694,0.052966102,0.076210826,0.063829787,0.065445026,0.5,0.08,0,0
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,1540,340,1200,0,0,0,0,1,0,1,2,10,,0.5,40,35,75,48,100,33,90,35,19,0.14841443778775315,41.255916967038694,0.021186441,0.053418803418803416,,0.022905759162303665,0.2,0.05,0,0
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,1400,600,800,0,0,0,3,2,0,3,8,20,2,0.4,103,103,,55,30,73,,100,19,0.14841443778775315,41.255916967038694,0.054555085,,0.042553191,0.065445026,0.4,0.077669903,0,0
Seven Springs,Pennsylvania,Pennsylvania,2994,750,2240,0,2,0,3,5,0,4,14,33,7,1.2,285,285,99,87,135,87,115,200,19,0.14841443778775315,41.255916967038694,0.15095338983050846,0.070512821,0.14893617021276595,0.13089005235602094,0.42424242424242425,0.049122807,0,0
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350,700,650,0,0,1,1,0,4,4,10,23,2,1.6,125,125,100,44,50,65,122,120,19,0.14841443778775315,41.255916967038694,0.066207627,0.071225071,0.042553191,0.078534031,0.43478260869565216,0.08,0.043478260869565216,0.008
Ski Sawmill,Pennsylvania,Pennsylvania,2215,515,1700,0,0,0,0,1,1,3,5,14,1,0.1,15,13,,50,24,44,90,15,19,0.14841443778775315,41.255916967038694,0.007944915,,0.021276596,0.009816754,0.35714285714285715,0.3333333333333333,0,0
Montage Mountain,Pennsylvania,Pennsylvania,1960,1000,960,0,0,0,1,3,1,2,7,26,1,1.2,140,140,60,35,47,,90,140,19,0.14841443778775315,41.255916967038694,0.074152542,0.042735042735042736,0.021276596,0.091623037,0.2692307692307692,0.05,0,0
Tussey Mountain,Pennsylvania,Pennsylvania,1750,520,1230,0,0,0,1,0,1,3,5,8,1,0.3,38,30,100,39,41,45,100,30,19,0.14841443778775315,41.255916967038694,0.020127118644067795,0.071225071,0.021276596,0.019633508,0.625,0.13157894736842105,0,0
Whitetail Resort,Pennsylvania,Pennsylvania,1800,935,865,0,0,1,3,0,2,2,8,23,2,1,120,120,116,28,40,71,100,120,19,0.14841443778775315,41.255916967038694,0.063559322,0.082621083,0.042553191,0.078534031,0.34782608695652173,0.066666667,0.043478260869565216,0.008333333
Deer Mountain Ski Resort,South Dakota,South Dakota,6850,940,6040,0,0,0,0,1,1,2,4,63,2,1.6,500,50,69,51,200,45,81,,2,0.22607581000136776,2.593495513252762,0.5263157894736842,0.3770491803278688,0.6666666666666666,,0.063492063,0.008,0,0
Terry Peak Ski Area,South Dakota,South Dakota,7100,1100,5900,0,0,3,0,1,0,1,5,30,1,1.2,450,225,114,65,150,58,120,,2,0.22607581000136776,2.593495513252762,0.47368421052631576,0.6229508196721312,0.3333333333333333,,0.16666666666666666,0.011111111111111112,0.1,0.006666667
Ober Gatlinburg Ski Resort,Tennessee,Tennessee,3300,600,2700,0,0,0,2,0,1,1,4,10,1,1,,,83,44,35,65,94,,1,0.014643059321669063,2.3728170083523157,,1,1,,0.4,,0,
Alta Ski Area,Salt Lake City,Utah,11068,2538,8530,0,0,3,0,1,2,0,6,116,,1.3,2614,140,150,81,545,116,140,,13,0.4054950189615709,15.312673003757494,0.085682444,0.097150259,,,0.051724138,0.002295333,0.025862069,0.001147666
Beaver Mountain,Utah,Utah,8600,1600,7232,0,0,0,0,1,3,1,5,48,2,0.8,464,,120,81,400,50,120,,13,0.4054950189615709,15.312673003757494,0.015209125475285171,0.077720207,0.076923077,,0.10416666666666667,0.010775862068965518,0,0
Brian Head Resort,Utah,Utah,10970,1548,9600,0,0,1,0,6,1,0,8,71,2,0.6,650,216,149,54,360,59,148,,13,0.4054950189615709,15.312673003757494,0.021305887,0.096502591,0.076923077,,0.11267605633802817,0.012307692307692308,0.014084507042253521,0.001538462
Brighton Resort,Salt Lake City,Utah,10500,1745,8755,0,0,3,1,1,0,2,7,66,4,1.2,1050,200,138,83,500,85,138,200,13,0.4054950189615709,15.312673003757494,0.034417202,0.089378238,0.15384615384615385,0.3115264797507788,0.10606060606060606,0.006666667,0.045454545454545456,0.002857143
Deer Valley Resort,Salt Lake City,Utah,9570,3000,6570,1,0,13,0,5,2,0,21,103,,2.8,2026,660,,39,300,169,,,13,0.4054950189615709,15.312673003757494,0.066408811,,,,0.20388349514563106,0.010365251727541954,0.1262135922330097,0.006416584
Eagle Point,Utah,Utah,10600,1500,9100,0,0,0,1,1,2,1,5,40,1,0.9,650,,,9,400,60,109,,13,0.4054950189615709,15.312673003757494,0.021305887,,0.038461538461538464,,0.125,0.007692308,0,0
Powder Mountain,Utah,Utah,9422,2522,6900,0,0,1,4,1,0,3,9,167,2,3.5,8464,,120,47,500,88,146,300,13,0.4054950189615709,15.312673003757494,0.27743542677330535,0.077720207,0.076923077,0.4672897196261682,0.053892216,0.001063327,0.005988024,0.000118147
Snowbasin,Utah,Utah,9350,2900,6450,3,1,2,0,3,0,2,11,107,4,3.5,3000,625,143,79,300,115,138,,13,0.4054950189615709,15.312673003757494,0.098334863,0.09261658,0.15384615384615385,,0.102803738,0.003666667,0.018691588785046728,0.000666667
Snowbird,Salt Lake City,Utah,11000,3240,7760,1,0,6,0,0,4,3,14,170,1,2.5,2500,,188,48,500,125,180,2,13,0.4054950189615709,15.312673003757494,0.081945719,0.12176165803108809,0.038461538461538464,0.003115265,0.082352941,0.0056,0.035294118,0.0024
Solitude Mountain Resort,Salt Lake City,Utah,10488,2494,7994,0,0,4,2,1,1,1,9,80,,3,1200,150,161,62,500,119,148,,13,0.4054950189615709,15.312673003757494,0.039333945,0.10427461139896373,,,0.1125,0.0075,0.05,0.003333333
Sundance,Utah,Utah,8250,2150,6100,0,0,0,2,2,0,1,5,45,1,0.6,450,112,128,50,320,80,129,,13,0.4054950189615709,15.312673003757494,0.014750229448013635,0.082901554,0.038461538461538464,,0.1111111111111111,0.011111111111111112,0,0
Nordic Valley Resort,Utah,Utah,6400,960,5440,0,0,0,0,0,2,2,4,23,1,0.4,140,84,105,51,300,50,105,140,13,0.4054950189615709,15.312673003757494,0.00458896,0.068005181,0.038461538461538464,0.21806853582554517,0.17391304347826086,0.028571429,0,0
Bolton Valley,Vermont,Vermont,3150,1704,1446,0,0,0,2,0,3,1,6,71,3,0.6,300,90,133,53,300,79,132,50,15,2.4038885300862676,155.99001663893512,0.041442188,0.074845245,0.06,1,0.084507042,0.02,0,0
Bromley Mountain,Vermont,Vermont,3284,1334,1950,0,0,1,1,0,4,3,9,47,1,2.5,178,153,,83,168,91,152,,15,2.4038885300862676,155.99001663893512,0.024589032,,0.02,,0.19148936170212766,0.050561798,0.021276596,0.005617978
Burke Mountain,Vermont,Vermont,3267,2011,1210,0,0,2,1,0,0,3,6,50,3,2.2,178,125,110,62,217,73,125,,15,2.4038885300862676,155.99001663893512,0.024589032,0.061902082160945414,0.06,,0.12,0.033707865168539325,0.04,0.011235955056179775
Jay Peak,Vermont,Vermont,3968,2153,1815,1,0,1,3,1,1,2,9,79,2,3,385,300,155,64,349,89,160,,15,2.4038885300862676,155.99001663893512,0.053184141,0.087225661,0.04,,0.11392405063291139,0.023376623376623377,0.012658227848101266,0.002597403
Killington Resort,Vermont,Vermont,4241,3050,1165,3,1,5,4,3,1,5,22,155,6,6,1515,600,192,61,250,119,,,15,2.4038885300862676,155.99001663893512,0.20928305014504767,0.1080472706809229,0.12,,0.14193548387096774,0.014521452145214522,0.032258065,0.00330033
Magic Mountain,Vermont,Vermont,2850,1500,1350,0,0,0,0,0,3,3,6,50,1,1.6,205,95,76,59,150,74,80,,15,2.4038885300862676,155.99001663893512,0.028318828567481698,0.042768711,0.02,,0.12,0.029268293,0,0
Pico Mountain,Vermont,Vermont,3967,1967,2000,0,0,2,0,2,2,1,7,59,1,4,260,156,,82,250,81,,,15,2.4038885300862676,155.99001663893512,0.035916563,,0.02,,0.11864406779661017,0.026923076923076925,0.033898305,0.007692308
Smugglers' Notch Resort,Vermont,Vermont,3640,2610,1030,0,0,0,0,0,6,2,8,78,6,3,1000,192,136,63,280,79,135,,15,2.4038885300862676,155.99001663893512,0.1381406271584473,0.076533483,0.12,,0.10256410256410256,0.008,0,0
Sugarbush,Vermont,Vermont,4083,2600,1483,0,0,5,5,2,1,3,16,111,4,3,581,406,150,61,250,119,156,,15,2.4038885300862676,155.99001663893512,0.080259704,0.08441193,0.08,,0.14414414414414414,0.027538726333907058,0.045045045,0.008605852
Suicide Six,Vermont,Vermont,1200,650,550,0,0,0,0,0,2,1,3,24,,0.4,100,50,100,85,90,75,106,,15,2.4038885300862676,155.99001663893512,0.013814063,0.056274620146314014,,,0.125,0.03,0,0
Bryce Resort,Virginia,Virginia,1750,500,1250,0,0,0,1,0,1,5,7,8,,0.4,25,25,100,54,30,68,95,20,4,0.046862997,9.351256575,0.092936803,0.273224044,,0.14814814814814814,0.875,0.28,0,0
Wintergreen Resort,Virginia,Virginia,3515,1003,2512,0,2,0,1,1,1,0,5,27,2,1,129,129,107,44,34,,121,45,4,0.046862997,9.351256575,0.4795539033457249,0.2923497267759563,0.5,0.3333333333333333,0.18518518518518517,0.03875969,0,0
49 Degrees North,Washington,Washington,5774,1851,3932,0,0,0,1,0,5,1,7,89,1,2,2325,,101,48,301,62,135,250,10,0.13132160885254723,14.02563886785043,0.15166340508806261,0.098825832,0.047619047619047616,0.12518778167250877,0.078651685,0.003010753,0,0
Bluewood,Washington,Washington,5670,1125,4545,0,0,0,0,2,0,1,3,24,2,2,355,,70,40,300,47,110,,10,0.13132160885254723,14.02563886785043,0.023157208088714937,0.068493151,0.095238095,,0.125,0.008450704,0,0
Crystal Mountain,Washington,Washington,7012,3100,4400,1,2,2,1,2,2,0,10,57,1,2.5,2600,10,,57,486,99,,,10,0.13132160885254723,14.02563886785043,0.16960208741030658,,0.047619047619047616,,0.17543859649122806,0.003846154,0.035087719,0.000769231
Mt. Baker,Washington,Washington,5000,1500,3500,0,0,0,8,0,0,2,10,38,,0.7,1000,,143,66,663,60.01,165,,10,0.13132160885254723,14.02563886785043,0.065231572,0.13992172211350293,,,0.2631578947368421,0.01,0,0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0,0,0,1,5,1,7,52,3,0.6,1704,,100,81,300,59,103,45,10,0.13132160885254723,14.02563886785043,0.1111545988258317,0.097847358,0.14285714285714285,0.022533800701051578,0.1346153846153846,0.004107981,0,0
The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,0,3,3,4,10,7,27,112,5,0.8,1994,5,120,82,428,95,140,541,10,0.13132160885254723,14.02563886785043,0.13007175472928897,0.11741682974559686,0.23809523809523808,0.27090635953930897,0.24107142857142858,0.013540622,0.026785714285714284,0.001504514
White Pass,Washington,Washington,6550,2050,4500,0,0,2,1,1,2,2,8,45,2,2.5,1402,30,148,67,400,69,144,90,10,0.13132160885254723,14.02563886785043,0.091454664,0.14481409001956946,0.095238095,0.045067601402103155,0.17777777777777778,0.005706134,0.044444444444444446,0.001426534
Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,0,0,1,2,0,1,4,47,1,1.2,95,75,,48,160,68,93,,4,0.22319597666932456,16.50846058605035,0.1752767527675277,,0.1111111111111111,,0.085106383,0.042105263157894736,0,0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,0,3,2,6,0,3,14,60,5,1.5,257,257,125,46,180,87,138,86,4,0.22319597666932456,16.50846058605035,0.474169742,0.3654970760233918,0.5555555555555556,0.45989304812834225,0.23333333333333334,0.054474708171206226,0.05,0.011673151750972763
Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,0,0,0,2,1,1,4,40,1,2,100,100,97,37,150,92,115,27,4,0.22319597666932456,16.50846058605035,0.18450184501845018,0.28362573099415206,0.1111111111111111,0.1443850267379679,0.1,0.04,0,0
Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,0,0,2,3,2,2,9,27,2,1.2,90,90,120,36,100,72,120,74,4,0.22319597666932456,16.50846058605035,0.16605166051660517,0.3508771929824561,0.2222222222222222,0.39572192513368987,0.3333333333333333,0.1,0,0
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0,3,0,3,1,5,12,21,3,0.2,90,90,100,55,80,65,120,90,16,0.27479916474793875,24.42897276169537,0.05,0.065832785,0.069767442,0.080717489,0.5714285714285714,0.13333333333333333,0.14285714285714285,0.033333333
Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0,0,0,1,0,4,5,12,2,0.5,40,30,42,71,42,25,42,30,16,0.27479916474793875,24.42897276169537,0.022222222222222223,0.027649769585253458,0.046511627906976744,0.026905829596412557,0.4166666666666667,0.125,0,0
Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,0,2,2,3,2,3,12,47,4,1.1,175,175,120,57,56,64,120,,16,0.27479916474793875,24.42897276169537,0.097222222,0.078999342,0.093023256,,0.2553191489361702,0.068571429,0.042553191,0.011428571428571429
Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,0,0,0,0,1,5,6,30,4,0.8,45,41,92,43,48,38,120,35,16,0.27479916474793875,24.42897276169537,0.025,0.060566162,0.093023256,0.031390135,0.2,0.13333333333333333,0,0
Devils Head,Wisconsin,Wisconsin,995,500,495,0,0,0,3,1,6,2,12,27,1,1,260,260,110,48,45,65,135,200,16,0.27479916474793875,24.42897276169537,0.14444444444444443,0.072416063,0.023255813953488372,0.17937219730941703,0.4444444444444444,0.046153846153846156,0,0
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0,0,0,0,3,3,6,20,1,0.2,30,30,90,25,25,49,93,30,16,0.27479916474793875,24.42897276169537,0.016666666666666666,0.059249506,0.023255813953488372,0.026905829596412557,0.3,0.2,0,0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,1,2,0,2,0,2,7,75,4,0.6,220,160,136,82,75,92,135,200,16,0.27479916474793875,24.42897276169537,0.12222222222222222,0.089532587,0.093023256,0.17937219730941703,0.093333333,0.031818181818181815,0.026666667,0.009090909
Little Switzerland,Wisconsin,Wisconsin,1269,200,1069,0,0,0,0,0,4,4,8,18,3,1,50,50,,,,41,,50,16,0.27479916474793875,24.42897276169537,0.027777777777777776,,0.069767442,0.044843049,0.4444444444444444,0.16,0,0
Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,0,0,0,0,3,1,4,19,1,0.4,100,100,115,60,40,56,100,90,16,0.27479916474793875,24.42897276169537,0.055555556,0.075707702,0.023255813953488372,0.080717489,0.21052631578947367,0.04,0,0
Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,0,0,0,1,1,5,7,18,4,1,60,60,68,43,80,47,90,60,16,0.27479916474793875,24.42897276169537,0.033333333,0.044766294,0.093023256,0.053811659192825115,0.3888888888888889,0.11666666666666667,0,0
Sunburst,Wisconsin,Wisconsin,1100,214,866,0,0,0,0,0,3,6,9,13,4,0.5,37,37,99,59,50,44,115,37,16,0.27479916474793875,24.42897276169537,0.020555555555555556,0.065174457,0.093023256,0.033183856502242155,0.6923076923076923,0.24324324324324326,0,0
Trollhaugen,Wisconsin,Wisconsin,1200,260,920,0,0,0,2,0,1,5,8,24,4,0.5,86,86,130,69,50,54,120,86,16,0.27479916474793875,24.42897276169537,0.047777778,0.08558262,0.093023256,0.077130045,0.3333333333333333,0.093023256,0,0
Tyrol Basin,Wisconsin,Wisconsin,1160,300,860,0,0,0,0,3,0,2,5,18,5,0.5,32,32,112,61,41,48,103,32,16,0.27479916474793875,24.42897276169537,0.017777777777777778,0.073732719,0.11627906976744186,0.028699551569506727,0.2777777777777778,0.15625,0,0
Whitecap Mountain,Wisconsin,Wisconsin,1750,400,1295,0,0,0,1,0,4,0,5,43,1,1,400,300,105,57,200,60,118,,16,0.27479916474793875,24.42897276169537,0.2222222222222222,0.069124424,0.023255813953488372,,0.11627906976744186,0.0125,0,0
Wilmot Mountain,Wisconsin,Wisconsin,1030,230,800,0,0,0,3,2,2,3,10,23,2,0.5,135,135,125,81,70,66,139,135,16,0.27479916474793875,24.42897276169537,0.075,0.082290981,0.046511627906976744,0.1210762331838565,0.43478260869565216,0.074074074,0,0
Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0,2,2,0,0,1,5,95,1,2.7,2602,,152,50,500,90,152,,8,1.3822679215355613,8.178871929,0.3988962133987429,0.2122905027932961,0.071428571,,0.052631579,0.001921599,0.021052631578947368,0.00076864
Hogadon Basin,Wyoming,Wyoming,8000,640,7400,0,0,0,0,0,1,1,2,28,1,0.6,92,32,121,61,80,48,95,,8,1.3822679215355613,8.178871929,0.01410394,0.16899441340782123,0.071428571,,0.071428571,0.021739130434782608,0,0
Sleeping Giant Ski Resort,Wyoming,Wyoming,7428,810,6619,0,0,0,0,1,1,1,3,48,1,1,184,18,61,81,310,42,77,,8,1.3822679215355613,8.178871929,0.02820788,0.085195531,0.071428571,,0.0625,0.016304347826086956,0,0
Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,0,0,1,1,1,0,3,32,2,1,400,250,121,80,300,59,123,110,8,1.3822679215355613,8.178871929,0.061321478,0.16899441340782123,0.14285714285714285,1,0.09375,0.0075,0,0
Snowy Range Ski & Recreation Area,Wyoming,Wyoming,9663,990,8798,0,0,0,0,1,3,1,5,33,2,0.7,75,30,131,59,250,49,,,8,1.3822679215355613,8.178871929,0.011497777096428024,0.1829608938547486,0.14285714285714285,,0.15151515151515152,0.066666667,0,0
White Pine Ski Area,Wyoming,Wyoming,9500,1100,8400,0,0,0,0,2,0,0,2,25,,0.4,370,,,81,150,49,,,8,1.3822679215355613,8.178871929,0.056722367,,,,0.08,0.005405405,0,0
